placement,group,comp,grp_count,grp_placement,mode
2,-1,"Brand, Controller, Cutter, Ekko, Neeko, Rengar, Samira, StreetDemon, Supercharge, Techie, Urgot, Yuumi",537,4.72,"AnimaSquad, Aurora, BallisTek, Cutter, Divinicorp, Leona, Rhaast, Skarner, Thirsty, Urgot, Vanguard, Vex, Virus, Zac"
2,-1,"AnimaSquad, Aurora, Illaoi, Jhin, Leona, Marksman, Thirsty, Vanguard, Vayne, Virus, Xayah, Zac",537,4.72,"AnimaSquad, Aurora, BallisTek, Cutter, Divinicorp, Leona, Rhaast, Skarner, Thirsty, Urgot, Vanguard, Vex, Virus, Zac"
6,-1,"Annie, Controller, Garen, Immortal, Naafiri, Neeko, Samira, Supercharge, Viego, ViegoUniqueTrait, Virus, Yuumi, Zac, Ziggs",537,4.72,"AnimaSquad, Aurora, BallisTek, Cutter, Divinicorp, Leona, Rhaast, Skarner, Thirsty, Urgot, Vanguard, Vex, Virus, Zac"
6,-1,"Brand, Bruiser, Chogath, Divinicorp, Elise, Gragas, Immortal, Jarvan, Mordekaiser, Techie, Thirsty",537,4.72,"AnimaSquad, Aurora, BallisTek, Cutter, Divinicorp, Leona, Rhaast, Skarner, Thirsty, Urgot, Vanguard, Vex, Virus, Zac"
2,-1,"Aurora, Bruiser, Chogath, Divinicorp, Elise, Gragas, MissFortune, Overlord, Renekton, Thirsty, Viego, ViegoUniqueTrait, Virus, Zac",537,4.72,"AnimaSquad, Aurora, BallisTek, Cutter, Divinicorp, Leona, Rhaast, Skarner, Thirsty, Urgot, Vanguard, Vex, Virus, Zac"
6,-1,"BallisTek, Bruiser, Chogath, Cutter, Divinicorp, Gragas, Mordekaiser, Overlord, Renekton, Senna, Strong, Techie, Urgot, Vex, Viego, ViegoUniqueTrait",537,4.72,"AnimaSquad, Aurora, BallisTek, Cutter, Divinicorp, Leona, Rhaast, Skarner, Thirsty, Urgot, Vanguard, Vex, Virus, Zac"
2,-1,"Aurora, Braum, Bruiser, Darius, Divinicorp, Draven, Kobuko, MissFortune, Mob, Rhaast, Swift, Thirsty, TwistedFate, Vanguard",537,4.72,"AnimaSquad, Aurora, BallisTek, Cutter, Divinicorp, Leona, Rhaast, Skarner, Thirsty, Urgot, Vanguard, Vex, Virus, Zac"
2,-1,"Armorclad, Aurora, Bruiser, Cutter, Divinicorp, EdgeRunner, Jhin, Marksman, Mordekaiser, Overlord, Renekton, Sejuani, Swift, Thirsty, Varus, Zeri",537,4.72,"AnimaSquad, Aurora, BallisTek, Cutter, Divinicorp, Leona, Rhaast, Skarner, Thirsty, Urgot, Vanguard, Vex, Virus, Zac"
6,-1,"Controller, Cutter, Divinicorp, Ekko, Neeko, Rengar, StreetDemon, Urgot, Vex, Viego, ViegoUniqueTrait, Virus, Yuumi, Zac",537,4.72,"AnimaSquad, Aurora, BallisTek, Cutter, Divinicorp, Leona, Rhaast, Skarner, Thirsty, Urgot, Vanguard, Vex, Virus, Zac"
6,-1,"BallisTek, Bruiser, Chogath, Divinicorp, Fiddlesticks, Mordekaiser, Rhaast, Skarner, Swift, Techie, Urgot, Vanguard, Zeri",537,4.72,"AnimaSquad, Aurora, BallisTek, Cutter, Divinicorp, Leona, Rhaast, Skarner, Thirsty, Urgot, Vanguard, Vex, Virus, Zac"
6,-1,"Armorclad, Bruiser, Darius, Divinicorp, EdgeRunner, Gragas, MissFortune, Mob, Mordekaiser, Sejuani, Swift, Thirsty, TwistedFate, Zeri",537,4.72,"AnimaSquad, Aurora, BallisTek, Cutter, Divinicorp, Leona, Rhaast, Skarner, Thirsty, Urgot, Vanguard, Vex, Virus, Zac"
2,-1,"Armorclad, Aurora, Bruiser, Divinicorp, EdgeRunner, Gragas, Jhin, Marksman, Mordekaiser, Overlord, Renekton, Rhaast, Sejuani, Swift, Thirsty, Vanguard, Zeri",537,4.72,"AnimaSquad, Aurora, BallisTek, Cutter, Divinicorp, Leona, Rhaast, Skarner, Thirsty, Urgot, Vanguard, Vex, Virus, Zac"
6,-1,"Cutter, Divinicorp, Garen, Gragas, Netgod, Overlord, Renekton, Rhaast, Senna, Strong, Urgot, Vex, Zed",537,4.72,"AnimaSquad, Aurora, BallisTek, Cutter, Divinicorp, Leona, Rhaast, Skarner, Thirsty, Urgot, Vanguard, Vex, Virus, Zac"
6,-1,"BallisTek, Bruiser, Chogath, Cutter, Divinicorp, Fiddlesticks, Gragas, Mordekaiser, Rengar, StreetDemon, Techie, Vex",537,4.72,"AnimaSquad, Aurora, BallisTek, Cutter, Divinicorp, Leona, Rhaast, Skarner, Thirsty, Urgot, Vanguard, Vex, Virus, Zac"
6,-1,"AnimaSquad, Armorclad, Aurora, Illaoi, Leona, Sejuani, Vanguard, Vayne, Xayah",537,4.72,"AnimaSquad, Aurora, BallisTek, Cutter, Divinicorp, Leona, Rhaast, Skarner, Thirsty, Urgot, Vanguard, Vex, Virus, Zac"
3,-1,"Brand, Bruiser, Cyberboss, Garen, Immortal, Kobuko, Mordekaiser, Shyvana, StreetDemon, Techie, Veigar, Viego, ViegoUniqueTrait",537,4.72,"AnimaSquad, Aurora, BallisTek, Cutter, Divinicorp, Leona, Rhaast, Skarner, Thirsty, Urgot, Vanguard, Vex, Virus, Zac"
6,-1,"Annie, Bruiser, Divinicorp, EdgeRunner, Gragas, Mordekaiser, Naafiri, Supercharge, Yuumi",537,4.72,"AnimaSquad, Aurora, BallisTek, Cutter, Divinicorp, Leona, Rhaast, Skarner, Thirsty, Urgot, Vanguard, Vex, Virus, Zac"
2,-1,"Armorclad, Aurora, BallisTek, Bruiser, Chogath, Divinicorp, EdgeRunner, Gragas, Jhin, Kobuko, Marksman, Mordekaiser, Overlord, Renekton, Sejuani, Thirsty, Urgot",537,4.72,"AnimaSquad, Aurora, BallisTek, Cutter, Divinicorp, Leona, Rhaast, Skarner, Thirsty, Urgot, Vanguard, Vex, Virus, Zac"
6,-1,"AnimaSquad, Aurora, Illaoi, Leona, MissFortune, Thirsty, Vanguard, Vayne, Virus, Xayah, Zac",537,4.72,"AnimaSquad, Aurora, BallisTek, Cutter, Divinicorp, Leona, Rhaast, Skarner, Thirsty, Urgot, Vanguard, Vex, Virus, Zac"
6,-1,"Armorclad, EdgeRunner, Galio, Jhin, Mordekaiser, Naafiri, Sejuani, Shyvana, Techie, Varus, Zeri",537,4.72,"AnimaSquad, Aurora, BallisTek, Cutter, Divinicorp, Leona, Rhaast, Skarner, Thirsty, Urgot, Vanguard, Vex, Virus, Zac"
6,-1,"Armorclad, Aurora, Braum, Darius, EdgeRunner, Elise, Jhin, MissFortune, Mob, Sejuani, Thirsty, Virus, Zac",537,4.72,"AnimaSquad, Aurora, BallisTek, Cutter, Divinicorp, Leona, Rhaast, Skarner, Thirsty, Urgot, Vanguard, Vex, Virus, Zac"
6,-1,"Aurora, BallisTek, Bruiser, Chogath, Divinicorp, Fiddlesticks, Garen, Gragas, Kobuko, Mordekaiser, Netgod, Techie, Urgot",537,4.72,"AnimaSquad, Aurora, BallisTek, Cutter, Divinicorp, Leona, Rhaast, Skarner, Thirsty, Urgot, Vanguard, Vex, Virus, Zac"
6,-1,"Annie, Armorclad, Aurora, Divinicorp, Elise, Garen, Kobuko, Netgod, Overlord, Renekton, Shyvana, Techie, Thirsty, Viego, ViegoUniqueTrait, Virus, Zac",537,4.72,"AnimaSquad, Aurora, BallisTek, Cutter, Divinicorp, Leona, Rhaast, Skarner, Thirsty, Urgot, Vanguard, Vex, Virus, Zac"
2,-1,"Armorclad, Aurora, Bruiser, EdgeRunner, Jhin, Kobuko, Marksman, Mordekaiser, Sejuani, Swift, Techie, Thirsty, Viego, ViegoUniqueTrait, Xayah, Zeri",537,4.72,"AnimaSquad, Aurora, BallisTek, Cutter, Divinicorp, Leona, Rhaast, Skarner, Thirsty, Urgot, Vanguard, Vex, Virus, Zac"
6,-1,"Armorclad, Bruiser, Cutter, Divinicorp, EdgeRunner, Gragas, Jhin, Mordekaiser, Sejuani, Techie, Varus, Vex, Viego, ViegoUniqueTrait, Virus, Zac",537,4.72,"AnimaSquad, Aurora, BallisTek, Cutter, Divinicorp, Leona, Rhaast, Skarner, Thirsty, Urgot, Vanguard, Vex, Virus, Zac"
2,-1,"Aurora, Brand, Controller, Ekko, Neeko, Rengar, Samira, StreetDemon, Techie, Viego, ViegoUniqueTrait, Ziggs",537,4.72,"AnimaSquad, Aurora, BallisTek, Cutter, Divinicorp, Leona, Rhaast, Skarner, Thirsty, Urgot, Vanguard, Vex, Virus, Zac"
6,-1,"Armorclad, Divinicorp, EdgeRunner, Illaoi, Jhin, Sejuani, Shyvana, Thirsty, Urgot",537,4.72,"AnimaSquad, Aurora, BallisTek, Cutter, Divinicorp, Leona, Rhaast, Skarner, Thirsty, Urgot, Vanguard, Vex, Virus, Zac"
2,-1,"AnimaSquad, Aurora, Garen, Illaoi, Leona, MissFortune, Netgod, Techie, Thirsty, Vanguard, Viego, ViegoUniqueTrait, Xayah",537,4.72,"AnimaSquad, Aurora, BallisTek, Cutter, Divinicorp, Leona, Rhaast, Skarner, Thirsty, Urgot, Vanguard, Vex, Virus, Zac"
2,-1,"Armorclad, Brand, Controller, Divinicorp, Ekko, Jinx, Neeko, Overlord, Renekton, Rengar, Samira, StreetDemon, Techie",537,4.72,"AnimaSquad, Aurora, BallisTek, Cutter, Divinicorp, Leona, Rhaast, Skarner, Thirsty, Urgot, Vanguard, Vex, Virus, Zac"
2,-1,"Braum, Bruiser, Divinicorp, Jarvan, Kobuko, Overlord, Renekton, Senna, Strong, Vanguard, Virus, Zac, Zed",537,4.72,"AnimaSquad, Aurora, BallisTek, Cutter, Divinicorp, Leona, Rhaast, Skarner, Thirsty, Urgot, Vanguard, Vex, Virus, Zac"
6,-1,"AnimaSquad, Aphelios, Armorclad, Illaoi, Leona, Marksman, Vanguard, Vayne, Xayah, Yuumi",537,4.72,"AnimaSquad, Aurora, BallisTek, Cutter, Divinicorp, Leona, Rhaast, Skarner, Thirsty, Urgot, Vanguard, Vex, Virus, Zac"
6,-1,"Aurora, Braum, Bruiser, Divinicorp, Elise, Gragas, Kobuko, Rhaast, Thirsty, Vanguard, Virus, Zac",537,4.72,"AnimaSquad, Aurora, BallisTek, Cutter, Divinicorp, Leona, Rhaast, Skarner, Thirsty, Urgot, Vanguard, Vex, Virus, Zac"
2,-1,"Braum, Bruiser, Darius, Divinicorp, Jarvan, Mob, Senna, Strong, Vanguard, Vayne, Virus, Zac, Zed",537,4.72,"AnimaSquad, Aurora, BallisTek, Cutter, Divinicorp, Leona, Rhaast, Skarner, Thirsty, Urgot, Vanguard, Vex, Virus, Zac"
6,-1,"Divinicorp, Gragas, Jarvan, Rhaast, Senna, Strong, Vanguard, Vayne, Vex, Zed",537,4.72,"AnimaSquad, Aurora, BallisTek, Cutter, Divinicorp, Leona, Rhaast, Skarner, Thirsty, Urgot, Vanguard, Vex, Virus, Zac"
6,-1,"AnimaSquad, Illaoi, Jarvan, Leona, Strong, Vanguard, Vayne, Xayah, Yuumi",537,4.72,"AnimaSquad, Aurora, BallisTek, Cutter, Divinicorp, Leona, Rhaast, Skarner, Thirsty, Urgot, Vanguard, Vex, Virus, Zac"
6,-1,"Armorclad, Aurora, BallisTek, Bruiser, Cutter, Darius, Divinicorp, EdgeRunner, Fiddlesticks, MissFortune, Mob, Mordekaiser, Overlord, Renekton, Sejuani, Techie, Thirsty, Urgot",537,4.72,"AnimaSquad, Aurora, BallisTek, Cutter, Divinicorp, Leona, Rhaast, Skarner, Thirsty, Urgot, Vanguard, Vex, Virus, Zac"
2,-1,"Armorclad, Aurora, Divinicorp, EdgeRunner, Jhin, Overlord, Renekton, Sejuani, Shyvana, Techie, Thirsty, Viego, ViegoUniqueTrait",537,4.72,"AnimaSquad, Aurora, BallisTek, Cutter, Divinicorp, Leona, Rhaast, Skarner, Thirsty, Urgot, Vanguard, Vex, Virus, Zac"
6,-1,"AnimaSquad, Divinicorp, Jarvan, Leona, Rhaast, Senna, Strong, Vanguard, Vayne, Zed",537,4.72,"AnimaSquad, Aurora, BallisTek, Cutter, Divinicorp, Leona, Rhaast, Skarner, Thirsty, Urgot, Vanguard, Vex, Virus, Zac"
6,-1,"Bruiser, Chogath, Darius, Divinicorp, Gragas, Mordekaiser, Vex",537,4.72,"AnimaSquad, Aurora, BallisTek, Cutter, Divinicorp, Leona, Rhaast, Skarner, Thirsty, Urgot, Vanguard, Vex, Virus, Zac"
6,-1,"AnimaSquad, Aurora, BallisTek, Braum, Divinicorp, Jarvan, Leona, Rhaast, Skarner, Vanguard, Vex",537,4.72,"AnimaSquad, Aurora, BallisTek, Cutter, Divinicorp, Leona, Rhaast, Skarner, Thirsty, Urgot, Vanguard, Vex, Virus, Zac"
6,-1,"AnimaSquad, Annie, Aphelios, Bruiser, Controller, Cutter, Divinicorp, Graves, Immortal, Jarvan, Leona, Marksman, Supercharge, Vanguard, Vex, Xayah, Yuumi",537,4.72,"AnimaSquad, Aurora, BallisTek, Cutter, Divinicorp, Leona, Rhaast, Skarner, Thirsty, Urgot, Vanguard, Vex, Virus, Zac"
6,-1,"BallisTek, Chogath, Cutter, Divinicorp, Garen, Jarvan, Netgod, Rhaast, Senna, Strong, Urgot, Vanguard, Vex",537,4.72,"AnimaSquad, Aurora, BallisTek, Cutter, Divinicorp, Leona, Rhaast, Skarner, Thirsty, Urgot, Vanguard, Vex, Virus, Zac"
3,-1,"BallisTek, Bruiser, Chogath, Cutter, Divinicorp, Gragas, Kobuko, Mordekaiser, Skarner, Swift, Urgot, Vex, Zeri",537,4.72,"AnimaSquad, Aurora, BallisTek, Cutter, Divinicorp, Leona, Rhaast, Skarner, Thirsty, Urgot, Vanguard, Vex, Virus, Zac"
6,-1,"Braum, Bruiser, Darius, Divinicorp, Elise, Gragas, Jhin, Leona, MissFortune, Mob, Thirsty, Vanguard",537,4.72,"AnimaSquad, Aurora, BallisTek, Cutter, Divinicorp, Leona, Rhaast, Skarner, Thirsty, Urgot, Vanguard, Vex, Virus, Zac"
6,-1,"Armorclad, BallisTek, Brand, Bruiser, Chogath, Cyberboss, Fiddlesticks, Jhin, Kobuko, Mordekaiser, Shyvana, Techie, Veigar, Viego, ViegoUniqueTrait",537,4.72,"AnimaSquad, Aurora, BallisTek, Cutter, Divinicorp, Leona, Rhaast, Skarner, Thirsty, Urgot, Vanguard, Vex, Virus, Zac"
6,-1,"Armorclad, Elise, HotRod, Jhin, Marksman, Sejuani, Shyvana, SummonLevel2, Summon_Turret, Thirsty",537,4.72,"AnimaSquad, Aurora, BallisTek, Cutter, Divinicorp, Leona, Rhaast, Skarner, Thirsty, Urgot, Vanguard, Vex, Virus, Zac"
