placement,group,comp,grp_count,grp_placement,mode
4,0,,101,4.74,
7,0,"BallisTek, Divinicorp, Draven, Leona, Rhaast, Skarner, Swift, Vanguard",101,4.74,
3,0,"Armorclad, Draven, Galio, Jarvan, LeBlanc, Sejuani, Strong, Suits, Swift, Vanguard, Virus, Zac, Zed, Zeri",101,4.74,
7,0,,101,4.74,
7,0,"Armorclad, Controller, Draven, Galio, LeBlanc, Neeko, Sejuani, Suits, Yuumi, Zed",101,4.74,
1,0,,101,4.74,
1,0,,101,4.74,
1,0,"Armorclad, Draven, Galio, Immortal, Jarvan, Kobuko, LeBlanc, Sejuani, Strong, Suits, Swift, Vanguard, Viego, ViegoUniqueTrait, Zed, Zeri",101,4.74,
8,0,,101,4.74,
1,0,,101,4.74,
3,0,,101,4.74,
3,0,,101,4.74,
7,0,"Armorclad, Draven, Galio, Jarvan, LeBlanc, Sejuani, Strong, Suits, Swift, Vanguard, Zed, Zeri",101,4.74,
1,0,,101,4.74,
3,0,"Controller, Cutter, Divinicorp, Ekko, Graves, Immortal, Jarvan, Neeko, Rengar, StreetDemon, Urgot, Varus, Vex",101,4.74,
7,0,,101,4.74,
7,0,,101,4.74,
1,0,,101,4.74,
5,0,,101,4.74,
3,0,,101,4.74,
8,0,,101,4.74,
1,0,,101,4.74,
4,0,"BallisTek, Braum, Divinicorp, Jarvan, Leona, Rhaast, Skarner, Swift, Vanguard, Zeri",101,4.74,
8,0,"LeBlanc, Veigar",101,4.74,
8,0,"Armorclad, Divinicorp, Draven, Galio, LeBlanc, Rhaast, Suits, Vanguard",101,4.74,
3,0,,101,4.74,
4,0,,101,4.74,
8,0,,101,4.74,
8,0,,101,4.74,
1,0,,101,4.74,
3,0,,101,4.74,
8,0,,101,4.74,
4,0,,101,4.74,
8,0,,101,4.74,
3,0,,101,4.74,
4,0,,101,4.74,
8,0,,101,4.74,
1,0,,101,4.74,
5,0,,101,4.74,
3,0,,101,4.74,
5,0,,101,4.74,
6,0,,101,4.74,
6,0,,101,4.74,
6,0,"Armorclad, Draven, Galio, Garen, Jarvan, Netgod, Sejuani, Strong, Suits, Swift, Vanguard, Zed, Zeri",101,4.74,
6,0,,101,4.74,
6,0,,101,4.74,
2,0,,101,4.74,
2,0,,101,4.74,
6,0,,101,4.74,
2,0,,101,4.74,
6,0,"BallisTek, Divinicorp, Fiddlesticks, Rhaast, Skarner, Swift, Urgot, Vanguard",101,4.74,
6,0,,101,4.74,
2,0,"Armorclad, Divinicorp, Draven, Galio, Jarvan, LeBlanc, Sejuani, Senna, Strong, Suits, Swift, Vanguard, Zed, Zeri",101,4.74,
6,0,,101,4.74,
6,0,"Armorclad, Draven, Galio, Jarvan, LeBlanc, Sejuani, Strong, Suits, Swift, Vanguard, Zed, Zeri",101,4.74,
2,0,,101,4.74,
2,0,,101,4.74,
2,0,,101,4.74,
6,0,,101,4.74,
5,0,"BallisTek, Braum, Divinicorp, Draven, Leona, Rhaast, Skarner, Swift, Vanguard",101,4.74,
6,0,,101,4.74,
5,0,,101,4.74,
5,0,,101,4.74,
7,0,,101,4.74,
5,0,"BallisTek, Bruiser, Chogath, Divinicorp, Gragas, Marksman, Rhaast, Skarner, Swift, Vanguard",101,4.74,
5,0,"BallisTek, Divinicorp, Draven, Jarvan, Leona, Rhaast, Skarner, Swift, Vanguard",101,4.74,
7,0,,101,4.74,
7,0,,101,4.74,
7,0,,101,4.74,
5,0,,101,4.74,
2,0,,101,4.74,
5,0,,101,4.74,
2,0,,101,4.74,
2,0,,101,4.74,
5,0,,101,4.74,
7,0,,101,4.74,
7,0,,101,4.74,
5,0,,101,4.74,
1,0,,101,4.74,
8,0,"Armorclad, Divinicorp, Draven, Galio, LeBlanc, Senna, Strong, Suits, Swift, Zed, Zeri",101,4.74,
3,0,,101,4.74,
4,0,,101,4.74,
1,0,"Controller, Draven, Galio, Jarvan, LeBlanc, Strong, Suits, Swift, Vanguard, Virus, Yuumi, Zac, Zed, Zeri",101,4.74,
3,0,,101,4.74,
4,0,"Armorclad, Draven, Galio, Garen, Kobuko, LeBlanc, Netgod, Sejuani, Suits, Swift, Zed, Zeri",101,4.74,
3,0,,101,4.74,
4,0,"BallisTek, Divinicorp, Draven, Jarvan, Leona, Rhaast, Skarner, Swift, Vanguard",101,4.74,
4,0,,101,4.74,
8,0,,101,4.74,
4,0,"BallisTek, Controller, Divinicorp, Fiddlesticks, Marksman, Rhaast, Skarner, Swift, Vanguard, Ziggs",101,4.74,
4,0,,101,4.74,
4,0,,101,4.74,
8,0,"AnimaSquad, Armorclad, Controller, Ekko, Galio, Illaoi, LeBlanc, Leona, Neeko, Suits, Vanguard, Yuumi",101,4.74,
4,0,"BallisTek, Chogath, Divinicorp, Draven, Fiddlesticks, Rhaast, Skarner, Swift, Urgot, Vanguard, Zeri",101,4.74,
8,0,,101,4.74,
8,0,Veigar,101,4.74,
8,0,"Armorclad, Divinicorp, Draven, Galio, Rhaast, Sejuani, Senna, Strong, Suits, Swift, Vanguard, Zed, Zeri",101,4.74,
8,0,"Armorclad, Divinicorp, Draven, Galio, Illaoi, LeBlanc, Rhaast, Suits, Vanguard, Zed",101,4.74,
4,0,,101,4.74,
4,0,"Armorclad, Draven, Galio, Jarvan, LeBlanc, Sejuani, Strong, Suits, Swift, Vanguard, Zed, Zeri",101,4.74,
8,0,"Controller, Divinicorp, Ekko, LeBlanc, Rhaast, Vanguard, Zeri",101,4.74,
5,1,"Armorclad, Divinicorp, Draven, EdgeRunner, Galio, Overlord, Renekton, Sejuani, Swift, TwistedFate, Zeri",139,4.68,"Armorclad, Divinicorp, Draven, EdgeRunner, Galio, Overlord, Renekton, Sejuani, Swift, TwistedFate, Zeri"
6,1,"Armorclad, Draven, EdgeRunner, Galio, Sejuani, Swift, TwistedFate, Zeri",139,4.68,"Armorclad, Divinicorp, Draven, EdgeRunner, Galio, Overlord, Renekton, Sejuani, Swift, TwistedFate, Zeri"
8,1,"Armorclad, Draven, EdgeRunner, Sejuani, Swift, TwistedFate, Zed, Zeri",139,4.68,"Armorclad, Divinicorp, Draven, EdgeRunner, Galio, Overlord, Renekton, Sejuani, Swift, TwistedFate, Zeri"
4,1,"Armorclad, Cyberboss, Divinicorp, Draven, EdgeRunner, Galio, Kobuko, Overlord, Renekton, Sejuani, Shyvana, Swift, Zeri",139,4.68,"Armorclad, Divinicorp, Draven, EdgeRunner, Galio, Overlord, Renekton, Sejuani, Swift, TwistedFate, Zeri"
