placement,group,comp,grp_count,grp_placement,mode
1,0,"AnimaSquad, Aurora, Illaoi, Jhin, Leona, Marksman, Thirsty, Vanguard, Vayne, Virus, Xayah, Yuumi, Zac",56,3.96,"AnimaSquad, Aurora, Illaoi, Jhin, Leona, Marksman, Techie, Thirsty, Vanguard, Viego, ViegoUniqueTrait, Xayah, Yuumi"
3,0,"AnimaSquad, Aurora, Illaoi, Jhin, Leona, Marksman, Thirsty, Vanguard, Vayne, Xayah, Yuumi",56,3.96,"AnimaSquad, Aurora, Illaoi, Jhin, Leona, Marksman, Techie, Thirsty, Vanguard, Viego, ViegoUniqueTrait, Xayah, Yuumi"
6,0,"AnimaSquad, Aurora, Illaoi, Jhin, Leona, Marksman, Thirsty, Vanguard, Vayne, Xayah, Yuumi",56,3.96,"AnimaSquad, Aurora, Illaoi, Jhin, Leona, Marksman, Techie, Thirsty, Vanguard, Viego, ViegoUniqueTrait, Xayah, Yuumi"
3,0,"AnimaSquad, Armorclad, Aurora, Divinicorp, Illaoi, Jhin, Leona, Marksman, MissFortune, Techie, Thirsty, Vanguard, Virus, Xayah, Zac",56,3.96,"AnimaSquad, Aurora, Illaoi, Jhin, Leona, Marksman, Techie, Thirsty, Vanguard, Viego, ViegoUniqueTrait, Xayah, Yuumi"
3,0,"AnimaSquad, Armorclad, Aurora, Illaoi, Jhin, Leona, Marksman, Sejuani, Thirsty, Vanguard, Vayne, Xayah",56,3.96,"AnimaSquad, Aurora, Illaoi, Jhin, Leona, Marksman, Techie, Thirsty, Vanguard, Viego, ViegoUniqueTrait, Xayah, Yuumi"
3,0,"AnimaSquad, Armorclad, Aurora, Braum, Illaoi, Leona, MissFortune, Mob, Thirsty, Vanguard, Xayah",56,3.96,"AnimaSquad, Aurora, Illaoi, Jhin, Leona, Marksman, Techie, Thirsty, Vanguard, Viego, ViegoUniqueTrait, Xayah, Yuumi"
3,0,"AnimaSquad, Aurora, Illaoi, Jhin, Leona, Marksman, Thirsty, Vanguard, Virus, Xayah, Yuumi, Zac",56,3.96,"AnimaSquad, Aurora, Illaoi, Jhin, Leona, Marksman, Techie, Thirsty, Vanguard, Viego, ViegoUniqueTrait, Xayah, Yuumi"
4,0,"AnimaSquad, Armorclad, Aurora, Illaoi, Jhin, Leona, Marksman, Sejuani, Thirsty, Vanguard, Xayah",56,3.96,"AnimaSquad, Aurora, Illaoi, Jhin, Leona, Marksman, Techie, Thirsty, Vanguard, Viego, ViegoUniqueTrait, Xayah, Yuumi"
7,0,"AnimaSquad, Illaoi, Jhin, Leona, Marksman, Vanguard, Vayne, Xayah, Yuumi",56,3.96,"AnimaSquad, Aurora, Illaoi, Jhin, Leona, Marksman, Techie, Thirsty, Vanguard, Viego, ViegoUniqueTrait, Xayah, Yuumi"
4,0,"AnimaSquad, Armorclad, Aurora, Illaoi, Jhin, Kobuko, Leona, Marksman, Sejuani, Thirsty, Vanguard, Viego, ViegoUniqueTrait, Xayah",56,3.96,"AnimaSquad, Aurora, Illaoi, Jhin, Leona, Marksman, Techie, Thirsty, Vanguard, Viego, ViegoUniqueTrait, Xayah, Yuumi"
3,0,"AnimaSquad, Aurora, Illaoi, Jhin, Leona, Marksman, Techie, Thirsty, Vanguard, Viego, ViegoUniqueTrait, Xayah, Yuumi",56,3.96,"AnimaSquad, Aurora, Illaoi, Jhin, Leona, Marksman, Techie, Thirsty, Vanguard, Viego, ViegoUniqueTrait, Xayah, Yuumi"
3,0,"AnimaSquad, Aurora, Divinicorp, Illaoi, Jhin, Leona, Marksman, Senna, Strong, Thirsty, Vanguard, Vayne, Xayah",56,3.96,"AnimaSquad, Aurora, Illaoi, Jhin, Leona, Marksman, Techie, Thirsty, Vanguard, Viego, ViegoUniqueTrait, Xayah, Yuumi"
2,0,"AnimaSquad, Armorclad, Aurora, Illaoi, Jhin, Leona, Marksman, Shyvana, Techie, Thirsty, Vanguard, Vayne, Xayah",56,3.96,"AnimaSquad, Aurora, Illaoi, Jhin, Leona, Marksman, Techie, Thirsty, Vanguard, Viego, ViegoUniqueTrait, Xayah, Yuumi"
