placement,group,comp,grp_count,grp_placement,mode
4,-1,"Brand, Bruiser, Controller, Ekko, Garen, Kobuko, Neeko, Netgod, Rengar, Samira, StreetDemon, Techie",533,4.73,"AnimaSquad, Aphelios, Divinicorp, Immortal, Jarvan, Jhin, Jinx, Leona, Marksman, Overlord, Renekton, Rhaast, Vanguard, Xayah"
8,-1,"BallisTek, Chogath, Fiddlesticks, Garen, Immortal, Netgod, Skarner, Techie, Urgot, Viego, ViegoUniqueTrait, Virus, Zac",533,4.73,"AnimaSquad, Aphelios, Divinicorp, Immortal, Jarvan, Jhin, Jinx, Leona, Marksman, Overlord, Renekton, Rhaast, Vanguard, Xayah"
4,-1,"Aurora, Divinicorp, Garen, Gragas, Netgod, Overlord, Renekton, Rhaast, Senna, Strong, Thirsty, Vanguard, Vex, Zed",533,4.73,"AnimaSquad, Aphelios, Divinicorp, Immortal, Jarvan, Jhin, Jinx, Leona, Marksman, Overlord, Renekton, Rhaast, Vanguard, Xayah"
2,-1,"Brand, Bruiser, Immortal, Mordekaiser, Samira, StreetDemon, Techie, Veigar, Viego, ViegoUniqueTrait, Zed",533,4.73,"AnimaSquad, Aphelios, Divinicorp, Immortal, Jarvan, Jhin, Jinx, Leona, Marksman, Overlord, Renekton, Rhaast, Vanguard, Xayah"
6,-1,"Annie, Armorclad, Controller, EdgeRunner, Ekko, Naafiri, Neeko, Sejuani, Supercharge, Yuumi",533,4.73,"AnimaSquad, Aphelios, Divinicorp, Immortal, Jarvan, Jhin, Jinx, Leona, Marksman, Overlord, Renekton, Rhaast, Vanguard, Xayah"
8,-1,"Armorclad, Aurora, Divinicorp, Galio, Illaoi, Jhin, Shyvana, Thirsty",533,4.73,"AnimaSquad, Aphelios, Divinicorp, Immortal, Jarvan, Jhin, Jinx, Leona, Marksman, Overlord, Renekton, Rhaast, Vanguard, Xayah"
4,-1,"Armorclad, Aurora, Bruiser, Cutter, Divinicorp, EdgeRunner, Jhin, Kobuko, Mordekaiser, Sejuani, Thirsty, Varus, Vex",533,4.73,"AnimaSquad, Aphelios, Divinicorp, Immortal, Jarvan, Jhin, Jinx, Leona, Marksman, Overlord, Renekton, Rhaast, Vanguard, Xayah"
4,-1,"AnimaSquad, Armorclad, Aurora, Divinicorp, Garen, Illaoi, Jhin, Leona, Marksman, Netgod, Overlord, Renekton, Strong, Thirsty, Vanguard, Vayne, Xayah",533,4.73,"AnimaSquad, Aphelios, Divinicorp, Immortal, Jarvan, Jhin, Jinx, Leona, Marksman, Overlord, Renekton, Rhaast, Vanguard, Xayah"
6,-1,"Armorclad, Cyberboss, Elise, HotRod, Shyvana, SummonLevel2, Techie, Veigar",533,4.73,"AnimaSquad, Aphelios, Divinicorp, Immortal, Jarvan, Jhin, Jinx, Leona, Marksman, Overlord, Renekton, Rhaast, Vanguard, Xayah"
6,-1,"Armorclad, Divinicorp, Elise, Immortal, Overlord, Renekton, Sejuani, Shyvana, Techie, Thirsty, Viego, ViegoUniqueTrait",533,4.73,"AnimaSquad, Aphelios, Divinicorp, Immortal, Jarvan, Jhin, Jinx, Leona, Marksman, Overlord, Renekton, Rhaast, Vanguard, Xayah"
8,-1,"AnimaSquad, Armorclad, Aurora, Braum, Bruiser, Darius, Divinicorp, Elise, Illaoi, MissFortune, Mob, Sejuani, Thirsty",533,4.73,"AnimaSquad, Aphelios, Divinicorp, Immortal, Jarvan, Jhin, Jinx, Leona, Marksman, Overlord, Renekton, Rhaast, Vanguard, Xayah"
2,-1,"BallisTek, Brand, Bruiser, Chogath, Controller, Cutter, Cyberboss, Ekko, Kobuko, Neeko, Rengar, StreetDemon, Techie, Urgot, Ziggs",533,4.73,"AnimaSquad, Aphelios, Divinicorp, Immortal, Jarvan, Jhin, Jinx, Leona, Marksman, Overlord, Renekton, Rhaast, Vanguard, Xayah"
8,-1,"Bruiser, Darius, Divinicorp, Fiddlesticks, Gragas, Mordekaiser, Techie",533,4.73,"AnimaSquad, Aphelios, Divinicorp, Immortal, Jarvan, Jhin, Jinx, Leona, Marksman, Overlord, Renekton, Rhaast, Vanguard, Xayah"
4,-1,"Bruiser, Cyberboss, Fiddlesticks, Immortal, Kobuko, Mordekaiser, Neeko, Techie, Veigar, Viego, ViegoUniqueTrait",533,4.73,"AnimaSquad, Aphelios, Divinicorp, Immortal, Jarvan, Jhin, Jinx, Leona, Marksman, Overlord, Renekton, Rhaast, Vanguard, Xayah"
