unit,items,value_count,average_placement
TFT14_Alistar,"None, None, None",1788,4.51
TFT14_AnimaSquad,,1856,4.5
TFT14_Annie,"BlueBuff, Leviathan, SpearOfShojin",31,4.39
TFT14_Annie,"None, None, None",1612,4.55
TFT14_Aphelios,"GuinsoosRageblade, GuinsoosRageblade, HextechGunblade",25,4.16
TFT14_Aphelios,"GuinsoosRageblade, HextechGunblade, RapidFireCannon",13,4.38
TFT14_Aphelios,"GuinsoosRageblade, HextechGunblade, InfinityEdge",14,4.5
TFT14_Aphelios,"None, None, None",1618,4.51
TFT14_Armorclad,,1856,4.5
TFT14_Aurora,"None, None, RapidFireCannon",20,3.65
TFT14_Aurora,"Morellonomicon, None, None",20,4.2
TFT14_Aurora,"None, None, None",1463,4.74
TFT14_BallisTek,,1856,4.5
TFT14_Brand,"JeweledGauntlet, PowerGauntlet, SpearOfShojin",37,3.46
TFT14_Brand,"None, None, None",1700,4.53
TFT14_Braum,"None, None, None",1720,4.49
TFT14_Bruiser,,1856,4.5
TFT14_Chogath,"None, None, None",1704,4.49
TFT14_Controller,,1856,4.5
TFT14_Cutter,,1856,4.5
TFT14_Cyberboss,,1856,4.5
TFT14_Darius,"None, None, None",1784,4.5
TFT14_Divinicorp,,1856,4.5
TFT14_DrMundo,"None, None, None",1721,4.49
TFT14_Draven,"None, None, None",1728,4.51
TFT14_EdgeRunner,,1856,4.5
TFT14_Ekko,"None, None, None",1794,4.5
TFT14_Elise,"None, None, None",1617,4.49
TFT14_Fiddlesticks,"None, None, None",1813,4.49
TFT14_Galio,"None, None, None",1737,4.52
TFT14_Garen,"None, None, None",1759,4.55
TFT14_Gragas,"None, None, None",1720,4.49
TFT14_Graves,"None, None",1854,4.5
TFT14_HotRod,,1856,4.5
TFT14_Illaoi,"None, None, None",1800,4.51
TFT14_Immortal,,1856,4.5
TFT14_Jarvan,"None, None, RedBuff",17,4.0
TFT14_Jarvan,"None, None, None",1641,4.53
TFT14_Jax,"None, None, None",1681,4.52
TFT14_Jhin,"BFSword, None, None",13,4.23
TFT14_Jhin,"None, None, None",1699,4.49
TFT14_Jinx,"None, None, None",1772,4.51
TFT14_Kindred,"None, None, None",1826,4.5
TFT14_Kobuko,"None, None, None",1631,4.63
TFT14_KogMaw,"None, None, None",1819,4.49
TFT14_LeBlanc,"None, None, None",1831,4.5
TFT14_Leona,"None, None, None",1487,4.51
TFT14_Marksman,,1856,4.5
TFT14_MissFortune,"InfinityEdge, LastWhisper, MadredsBloodrazor",12,3.75
