placement,group,comp,grp_count,grp_placement,mode
1,0,"Braum, Divinicorp, Draven, Garen, MissFortune, Mob, Netgod, Rhaast, Swift, TwistedFate, Vanguard, Zeri",61,4.95,"Braum, Bruiser, Darius, Divinicorp, Draven, Gragas, MissFortune, Mob, Rhaast, Swift, TwistedFate, Vanguard"
5,0,"Braum, Bruiser, Darius, Divinicorp, Draven, Elise, Gragas, MissFortune, Mob, Rhaast, Swift, Thirsty, TwistedFate, Vanguard",61,4.95,"Braum, Bruiser, Darius, Divinicorp, Draven, Gragas, MissFortune, Mob, Rhaast, Swift, TwistedFate, Vanguard"
7,0,"Braum, Bruiser, Darius, Divinicorp, Draven, Gragas, MissFortune, Mob, Rhaast, Swift, TwistedFate, Vanguard",61,4.95,"Braum, Bruiser, Darius, Divinicorp, Draven, Gragas, MissFortune, Mob, Rhaast, Swift, TwistedFate, Vanguard"
4,0,"Aurora, Braum, Bruiser, Darius, Divinicorp, Gragas, MissFortune, Mob, Rhaast, Swift, Thirsty, TwistedFate, Vanguard, Zeri",61,4.95,"Braum, Bruiser, Darius, Divinicorp, Draven, Gragas, MissFortune, Mob, Rhaast, Swift, TwistedFate, Vanguard"
1,0,"Aurora, Braum, Bruiser, Darius, Divinicorp, Draven, Gragas, MissFortune, Mob, Rhaast, Swift, Thirsty, TwistedFate, Vanguard",61,4.95,"Braum, Bruiser, Darius, Divinicorp, Draven, Gragas, MissFortune, Mob, Rhaast, Swift, TwistedFate, Vanguard"
5,0,"Braum, Bruiser, Darius, Divinicorp, Draven, Gragas, Kobuko, MissFortune, Mob, Rhaast, Swift, TwistedFate, Vanguard",61,4.95,"Braum, Bruiser, Darius, Divinicorp, Draven, Gragas, MissFortune, Mob, Rhaast, Swift, TwistedFate, Vanguard"
6,0,"Braum, Bruiser, Darius, Divinicorp, Draven, Gragas, MissFortune, Mob, Swift, TwistedFate",61,4.95,"Braum, Bruiser, Darius, Divinicorp, Draven, Gragas, MissFortune, Mob, Rhaast, Swift, TwistedFate, Vanguard"
3,0,"Braum, Bruiser, Darius, Divinicorp, Gragas, MissFortune, Mob, Rhaast, Swift, TwistedFate, Vanguard, Zeri",61,4.95,"Braum, Bruiser, Darius, Divinicorp, Draven, Gragas, MissFortune, Mob, Rhaast, Swift, TwistedFate, Vanguard"
3,0,"Braum, Bruiser, Darius, Divinicorp, Draven, Gragas, MissFortune, Mob, Rhaast, Swift, TwistedFate, Vanguard",61,4.95,"Braum, Bruiser, Darius, Divinicorp, Draven, Gragas, MissFortune, Mob, Rhaast, Swift, TwistedFate, Vanguard"
6,0,"Braum, Bruiser, Darius, Divinicorp, Draven, Gragas, MissFortune, Mob, Rhaast, Strong, Swift, TwistedFate, Vanguard",61,4.95,"Braum, Bruiser, Darius, Divinicorp, Draven, Gragas, MissFortune, Mob, Rhaast, Swift, TwistedFate, Vanguard"
3,0,"Braum, Bruiser, Darius, Divinicorp, Draven, Elise, Gragas, MissFortune, Mob, Rhaast, Swift, Thirsty, TwistedFate, Vanguard",61,4.95,"Braum, Bruiser, Darius, Divinicorp, Draven, Gragas, MissFortune, Mob, Rhaast, Swift, TwistedFate, Vanguard"
4,0,"Braum, Bruiser, Darius, Divinicorp, Draven, Garen, Gragas, MissFortune, Mob, Netgod, Rhaast, Swift, TwistedFate, Vanguard",61,4.95,"Braum, Bruiser, Darius, Divinicorp, Draven, Gragas, MissFortune, Mob, Rhaast, Swift, TwistedFate, Vanguard"
5,0,"Braum, Bruiser, Darius, Divinicorp, Draven, Gragas, MissFortune, Mob, Rhaast, Swift, Thirsty, TwistedFate, Vanguard",61,4.95,"Braum, Bruiser, Darius, Divinicorp, Draven, Gragas, MissFortune, Mob, Rhaast, Swift, TwistedFate, Vanguard"
5,0,"Braum, Darius, Divinicorp, Draven, MissFortune, Mob, Rhaast, Swift, TwistedFate, Vanguard",61,4.95,"Braum, Bruiser, Darius, Divinicorp, Draven, Gragas, MissFortune, Mob, Rhaast, Swift, TwistedFate, Vanguard"
4,0,"Braum, Bruiser, Darius, Divinicorp, Draven, Gragas, MissFortune, Mob, Rhaast, Swift, TwistedFate, Vanguard",61,4.95,"Braum, Bruiser, Darius, Divinicorp, Draven, Gragas, MissFortune, Mob, Rhaast, Swift, TwistedFate, Vanguard"
1,0,"Braum, Bruiser, Darius, Divinicorp, Draven, Elise, MissFortune, Mob, Rhaast, Swift, Thirsty, TwistedFate, Vanguard",61,4.95,"Braum, Bruiser, Darius, Divinicorp, Draven, Gragas, MissFortune, Mob, Rhaast, Swift, TwistedFate, Vanguard"
7,0,"Braum, Bruiser, Darius, Divinicorp, Draven, Gragas, MissFortune, Mob, Swift, TwistedFate",61,4.95,"Braum, Bruiser, Darius, Divinicorp, Draven, Gragas, MissFortune, Mob, Rhaast, Swift, TwistedFate, Vanguard"
7,0,"Braum, Darius, Divinicorp, Draven, MissFortune, Mob, Rhaast, Swift, TwistedFate, Vanguard",61,4.95,"Braum, Bruiser, Darius, Divinicorp, Draven, Gragas, MissFortune, Mob, Rhaast, Swift, TwistedFate, Vanguard"
7,0,"Braum, Darius, Divinicorp, Draven, MissFortune, Mob, Rhaast, Swift, TwistedFate, Vanguard",61,4.95,"Braum, Bruiser, Darius, Divinicorp, Draven, Gragas, MissFortune, Mob, Rhaast, Swift, TwistedFate, Vanguard"
5,0,"Braum, Bruiser, Darius, Divinicorp, Draven, Gragas, MissFortune, Mob, Rhaast, Swift, TwistedFate, Vanguard",61,4.95,"Braum, Bruiser, Darius, Divinicorp, Draven, Gragas, MissFortune, Mob, Rhaast, Swift, TwistedFate, Vanguard"
7,0,"Braum, Darius, Divinicorp, Draven, MissFortune, Mob, Rhaast, Swift, TwistedFate, Vanguard",61,4.95,"Braum, Bruiser, Darius, Divinicorp, Draven, Gragas, MissFortune, Mob, Rhaast, Swift, TwistedFate, Vanguard"
7,0,"Braum, Bruiser, Darius, Divinicorp, Draven, Gragas, Mob, Rhaast, Swift, TwistedFate, Vanguard",61,4.95,"Braum, Bruiser, Darius, Divinicorp, Draven, Gragas, MissFortune, Mob, Rhaast, Swift, TwistedFate, Vanguard"
3,0,"Braum, Bruiser, Darius, Divinicorp, Draven, Gragas, MissFortune, Mob, Rhaast, Swift, Thirsty, TwistedFate, Vanguard",61,4.95,"Braum, Bruiser, Darius, Divinicorp, Draven, Gragas, MissFortune, Mob, Rhaast, Swift, TwistedFate, Vanguard"
7,0,"Braum, Bruiser, Darius, Divinicorp, Draven, Gragas, MissFortune, Mob, Swift, TwistedFate",61,4.95,"Braum, Bruiser, Darius, Divinicorp, Draven, Gragas, MissFortune, Mob, Rhaast, Swift, TwistedFate, Vanguard"
6,0,"Braum, Bruiser, Darius, Divinicorp, Draven, Gragas, MissFortune, Mob, Rhaast, Swift, TwistedFate, Vanguard",61,4.95,"Braum, Bruiser, Darius, Divinicorp, Draven, Gragas, MissFortune, Mob, Rhaast, Swift, TwistedFate, Vanguard"
6,0,"Braum, Bruiser, Darius, Divinicorp, Draven, Gragas, MissFortune, Mob, Rhaast, Swift, TwistedFate, Vanguard",61,4.95,"Braum, Bruiser, Darius, Divinicorp, Draven, Gragas, MissFortune, Mob, Rhaast, Swift, TwistedFate, Vanguard"
5,0,"Braum, Bruiser, Darius, Divinicorp, Draven, Gragas, MissFortune, Mob, Rhaast, Swift, TwistedFate, Vanguard",61,4.95,"Braum, Bruiser, Darius, Divinicorp, Draven, Gragas, MissFortune, Mob, Rhaast, Swift, TwistedFate, Vanguard"
4,0,"Braum, Bruiser, Darius, Divinicorp, Draven, Gragas, Mob, Rhaast, Swift, TwistedFate, Vanguard",61,4.95,"Braum, Bruiser, Darius, Divinicorp, Draven, Gragas, MissFortune, Mob, Rhaast, Swift, TwistedFate, Vanguard"
8,0,"Braum, Darius, Draven, MissFortune, Mob, Skarner, Swift, TwistedFate, Vanguard",61,4.95,"Braum, Bruiser, Darius, Divinicorp, Draven, Gragas, MissFortune, Mob, Rhaast, Swift, TwistedFate, Vanguard"
2,0,"Braum, Cutter, Darius, Divinicorp, Draven, MissFortune, Mob, Rhaast, Swift, TwistedFate, Urgot, Vanguard, Vex",61,4.95,"Braum, Bruiser, Darius, Divinicorp, Draven, Gragas, MissFortune, Mob, Rhaast, Swift, TwistedFate, Vanguard"
6,0,"Braum, Bruiser, Darius, Divinicorp, Draven, Gragas, MissFortune, Mob, Rhaast, Swift, TwistedFate, Vanguard",61,4.95,"Braum, Bruiser, Darius, Divinicorp, Draven, Gragas, MissFortune, Mob, Rhaast, Swift, TwistedFate, Vanguard"
4,0,"Braum, Bruiser, Darius, Divinicorp, Draven, Gragas, MissFortune, Mob, Rhaast, Swift, TwistedFate, Vanguard",61,4.95,"Braum, Bruiser, Darius, Divinicorp, Draven, Gragas, MissFortune, Mob, Rhaast, Swift, TwistedFate, Vanguard"
2,0,"Aurora, Braum, Bruiser, Darius, Divinicorp, Draven, Gragas, MissFortune, Mob, Overlord, Renekton, Rhaast, Swift, Thirsty, TwistedFate, Vanguard",61,4.95,"Braum, Bruiser, Darius, Divinicorp, Draven, Gragas, MissFortune, Mob, Rhaast, Swift, TwistedFate, Vanguard"
6,0,"Braum, Bruiser, Darius, Divinicorp, Draven, Gragas, MissFortune, Mob, Rhaast, Swift, TwistedFate, Vanguard",61,4.95,"Braum, Bruiser, Darius, Divinicorp, Draven, Gragas, MissFortune, Mob, Rhaast, Swift, TwistedFate, Vanguard"
8,0,"Braum, Bruiser, Darius, Divinicorp, Draven, Gragas, MissFortune, Mob, Rhaast, Swift, TwistedFate, Vanguard",61,4.95,"Braum, Bruiser, Darius, Divinicorp, Draven, Gragas, MissFortune, Mob, Rhaast, Swift, TwistedFate, Vanguard"
4,0,"Braum, Bruiser, Darius, Divinicorp, Gragas, MissFortune, Mob, Rhaast, Swift, TwistedFate, Vanguard",61,4.95,"Braum, Bruiser, Darius, Divinicorp, Draven, Gragas, MissFortune, Mob, Rhaast, Swift, TwistedFate, Vanguard"
8,0,"Braum, Bruiser, Darius, Divinicorp, Draven, Gragas, MissFortune, Mob, Rhaast, Swift, TwistedFate, Vanguard",61,4.95,"Braum, Bruiser, Darius, Divinicorp, Draven, Gragas, MissFortune, Mob, Rhaast, Swift, TwistedFate, Vanguard"
2,0,"Braum, Bruiser, Darius, Divinicorp, Draven, Gragas, MissFortune, Mob, Rhaast, Swift, TwistedFate, Vanguard",61,4.95,"Braum, Bruiser, Darius, Divinicorp, Draven, Gragas, MissFortune, Mob, Rhaast, Swift, TwistedFate, Vanguard"
8,0,"BallisTek, Braum, Bruiser, Chogath, Darius, MissFortune, Mob, Skarner, Swift, TwistedFate, Urgot, Vanguard",61,4.95,"Braum, Bruiser, Darius, Divinicorp, Draven, Gragas, MissFortune, Mob, Rhaast, Swift, TwistedFate, Vanguard"
6,0,"Braum, Bruiser, Darius, Divinicorp, Draven, Gragas, MissFortune, Mob, Rhaast, Swift, TwistedFate, Vanguard",61,4.95,"Braum, Bruiser, Darius, Divinicorp, Draven, Gragas, MissFortune, Mob, Rhaast, Swift, TwistedFate, Vanguard"
5,0,"Braum, Bruiser, Darius, Divinicorp, Draven, Gragas, MissFortune, Mob, Rhaast, Swift, TwistedFate, Vanguard, Zeri",61,4.95,"Braum, Bruiser, Darius, Divinicorp, Draven, Gragas, MissFortune, Mob, Rhaast, Swift, TwistedFate, Vanguard"
4,0,"Braum, Bruiser, Darius, Divinicorp, Draven, Gragas, MissFortune, Mob, Rhaast, Swift, TwistedFate, Vanguard",61,4.95,"Braum, Bruiser, Darius, Divinicorp, Draven, Gragas, MissFortune, Mob, Rhaast, Swift, TwistedFate, Vanguard"
8,0,"Braum, Bruiser, Darius, Divinicorp, Gragas, MissFortune, Mob, Rhaast, TwistedFate, Vanguard",61,4.95,"Braum, Bruiser, Darius, Divinicorp, Draven, Gragas, MissFortune, Mob, Rhaast, Swift, TwistedFate, Vanguard"
5,0,"Braum, Bruiser, Chogath, Darius, Divinicorp, Draven, Gragas, MissFortune, Mob, Rhaast, Swift, TwistedFate, Vanguard",61,4.95,"Braum, Bruiser, Darius, Divinicorp, Draven, Gragas, MissFortune, Mob, Rhaast, Swift, TwistedFate, Vanguard"
5,0,"Braum, Bruiser, Darius, Divinicorp, Draven, Gragas, MissFortune, Mob, Swift, TwistedFate",61,4.95,"Braum, Bruiser, Darius, Divinicorp, Draven, Gragas, MissFortune, Mob, Rhaast, Swift, TwistedFate, Vanguard"
5,0,"Braum, Bruiser, Darius, Divinicorp, Draven, Gragas, MissFortune, Mob, Rhaast, Swift, TwistedFate, Vanguard",61,4.95,"Braum, Bruiser, Darius, Divinicorp, Draven, Gragas, MissFortune, Mob, Rhaast, Swift, TwistedFate, Vanguard"
