placement,group,comp,grp_count,grp_placement,mode
4,-1,"Armorclad, Aurora, Bruiser, Darius, Divinicorp, EdgeRunner, MissFortune, Mob, Mordekaiser, Overlord, Renekton, Sejuani, Swift, Techie, Thirsty, TwistedFate, Viego, ViegoUniqueTrait, Zeri",661,4.87,"Brand, Controller, Cutter, Ekko, Jinx, Neeko, Rengar, StreetDemon, Techie, Varus"
3,-1,"Controller, Cutter, Divinicorp, Ekko, Graves, Immortal, Jarvan, Neeko, Rengar, StreetDemon, Urgot, Varus, Vex",661,4.87,"Brand, Controller, Cutter, Ekko, Jinx, Neeko, Rengar, StreetDemon, Techie, Varus"
3,-1,"Aurora, Bruiser, Divinicorp, Elise, Garen, Gragas, Netgod, Overlord, Renekton, Rhaast, Senna, Thirsty, Virus, Zac",661,4.87,"Brand, Controller, Cutter, Ekko, Jinx, Neeko, Rengar, StreetDemon, Techie, Varus"
8,-1,"Armorclad, Draven, Elise, Galio, LeBlanc, Sejuani, Swift",661,4.87,"Brand, Controller, Cutter, Ekko, Jinx, Neeko, Rengar, StreetDemon, Techie, Varus"
7,-1,"BallisTek, Bruiser, Chogath, Divinicorp, Gragas, Mordekaiser, Skarner, Techie, Vex, Viego, ViegoUniqueTrait",661,4.87,"Brand, Controller, Cutter, Ekko, Jinx, Neeko, Rengar, StreetDemon, Techie, Varus"
5,-1,"Armorclad, Aurora, Bruiser, Divinicorp, Garen, Gragas, Kobuko, Netgod, Overlord, Renekton, Rhaast, Sejuani, Senna, Thirsty",661,4.87,"Brand, Controller, Cutter, Ekko, Jinx, Neeko, Rengar, StreetDemon, Techie, Varus"
6,-1,"Armorclad, BallisTek, Bruiser, Chogath, Cutter, Divinicorp, EdgeRunner, Jhin, Mordekaiser, Sejuani, Thirsty, Urgot, Varus, Vex",661,4.87,"Brand, Controller, Cutter, Ekko, Jinx, Neeko, Rengar, StreetDemon, Techie, Varus"
7,-1,"Armorclad, Brand, Controller, Cyberboss, Mordekaiser, Neeko, Shyvana, StreetDemon, Techie, Veigar, Ziggs",661,4.87,"Brand, Controller, Cutter, Ekko, Jinx, Neeko, Rengar, StreetDemon, Techie, Varus"
7,-1,"Annie, Aphelios, Bruiser, Chogath, Divinicorp, Immortal, Jarvan, Leona, Rhaast, Vanguard, Viego, ViegoUniqueTrait, Virus, Zac",661,4.87,"Brand, Controller, Cutter, Ekko, Jinx, Neeko, Rengar, StreetDemon, Techie, Varus"
3,-1,"AnimaSquad, Aphelios, Aurora, Garen, Immortal, Jarvan, Jhin, Jinx, Leona, Marksman, Netgod, Thirsty, Vanguard, Virus, Xayah, Zac",661,4.87,"Brand, Controller, Cutter, Ekko, Jinx, Neeko, Rengar, StreetDemon, Techie, Varus"
